"total","car","public_trans","bus","subway","railroad","ferry","bike","walk","taxi","work_at_home"
1643,1441,7,7,0,0,0,32,29,0,134
620,498,0,0,0,0,0,3,58,0,61
1179,1131,4,0,0,4,0,0,12,2,30
3157,2895,4,0,0,4,0,0,108,8,142
2277,2037,16,16,0,0,0,7,109,22,86
3000,2719,14,14,0,0,0,46,33,79,109
1734,1566,7,7,0,0,0,27,66,36,32
3207,2961,21,21,0,0,0,11,103,0,111
2064,1898,0,0,0,0,0,9,44,66,47
1995,1715,8,8,0,0,0,18,148,17,89
2259,1938,0,0,0,0,0,0,17,1,303
2865,2627,0,0,0,0,0,4,66,88,80
1446,1310,0,0,0,0,0,7,37,0,92
876,824,0,0,0,0,0,0,24,14,14
3196,2760,59,59,0,0,0,41,217,18,101
2259,2132,0,0,0,0,0,7,46,9,65
2505,2222,15,15,0,0,0,19,11,9,229
2652,2144,0,0,0,0,0,0,283,4,221
3310,3067,13,13,0,0,0,0,112,36,82
1383,1168,0,0,0,0,0,0,132,13,70
3111,2010,290,290,0,0,0,342,175,38,256
2958,2041,299,299,0,0,0,261,54,0,303
2497,1149,373,361,0,0,0,128,509,29,309
3509,2729,174,174,0,0,0,277,84,0,245
1999,1559,175,175,0,0,0,76,21,0,168
2016,1416,235,235,0,0,0,165,83,56,61
2052,1553,152,152,0,0,0,236,19,0,92
2594,1909,358,325,10,0,0,97,26,72,132
2730,2204,107,67,27,13,0,74,150,8,187
2446,1846,298,257,41,0,0,64,41,71,126
2661,1882,252,252,0,0,0,186,95,12,234
2497,1754,218,209,0,9,0,255,70,83,117
2699,1961,323,323,0,0,0,201,59,20,135
2669,1899,367,367,0,0,0,187,73,32,111
2255,1494,257,250,7,0,0,226,99,35,144
2552,1646,406,406,0,0,0,151,253,13,83
3025,1398,735,702,33,0,0,528,233,32,99
1255,451,267,267,0,0,0,175,277,9,76
892,457,121,121,0,0,0,197,41,0,76
3638,1808,680,680,0,0,0,332,428,187,203
2226,1332,352,342,10,0,0,147,190,10,195
2362,1169,400,400,0,0,0,386,119,21,267
1814,1064,194,194,0,0,0,241,84,10,221
2793,1371,413,413,0,0,0,542,59,31,377
1757,936,248,239,0,0,0,301,83,10,179
2869,2262,150,131,0,0,0,178,74,0,205
1928,1512,281,281,0,0,0,52,35,0,48
3854,2900,409,350,0,0,0,218,117,47,163
1923,1238,266,212,14,6,0,83,155,16,165
2410,1479,456,308,94,16,0,251,80,8,136
2051,1341,257,212,0,0,0,224,32,12,185
