lexid	lexeme	vocalized	p_o_s	gloss	freq
kew	GB<L/	גִּבְעֹל	subs	flower-bud	1
kjh	HNPH/	הֲנָפָה	subs	swing	1
krb	JXDW/	יַחְדֹּו	nmpr	Jahdo	1
kdv	FR_SKJM/	שַׂר סְכִים	nmpr	Sarsekim	1
kud	KRF/	כָּרֵשׂ	subs	belly	1
jlo	B<L_CLCH/	בַּעַל שָׁלִשָׁה	nmpr	Baal Shalishah	1
krk	JXZJH/	יַחְזְיָה	nmpr	Jahzeiah	1
jzx	DBRT/	דַּבֶּרֶת	subs	word	1
lff	MPJY/	מֵפִיץ	subs	<uncertain>	1
kxt	M<NH===/	מַעֲנֶה	subs	purpose	1
lut	QCV=/	קֹשְׁטְ	subs	truth	1
lji	MWRH==/	מֹורָה	subs	<uncertain>	1
jpk	BRD==/	בֶּרֶד	nmpr	Bered	1
lcj	MHL[		verb	vitiate	1
kyp	M<ZJHW/	מַעַזְיָהוּ	nmpr	Maaziah	1
jbi	>BJ_<LBWN/	אֲבִי עַלְבֹון	nmpr	Abi-albon	1
jen	>LH==[	אָלָה	verb	wail	1
kue	KRH/	כֵּרָה	subs	feast	1
lht	MSH=/	מִסָּה	subs	measure	1
iww	<MH=/	עֻמָה	nmpr	Ummah	1
jrb	BWZJ=/	בּוּזִי	nmpr	Buzi	1
mgu	TLBCT/	תִּלְבֹּשֶׁת	subs	clothing	1
ixr	<NWCJM/	עֲנוּשִׁים	subs	fines	1
jle	>ZN_C>RH/	אֻזֵּן שֶׁאֱרָה	nmpr	Uzzen Sheerah	1
mow	XNP=/	חֹנֶף	subs	alienation	1
mkd	VWBJHW/	טֹובִיָּהוּ	nmpr	Tobijah	1
lpl	NXT=/	נַחַת	subs	descent	1
mdd	SKWT_BNWT/	סֻכֹּות בְּנֹות	nmpr	Succoth Benoth	1
jvm	CMD/	שֶׁמֶד	nmpr	Shemed	1
mvl	YPJ/	צְפִי	nmpr	Zephi	1
mdg	SLD[		verb	jump	1
kdk	FQD[	שָׂקַד	verb	<uncertain>	1
meb	SPRH/	סִפְרָה	subs	scroll	1
mhl	TNCMT=/	תִּנְשֶׁמֶת	subs	chameleon	1
joj	BLH=/	בָּלָה	nmpr	Balah	1
mjy	VPX=[		verb	bring forth	1
lhs	MSDRWN/	מִסְדְּרֹון	subs	<uncertain>	1
muq	YLP/	צָלָף	nmpr	Zalaph	1
jcc	>CJM>/	אֲשִׁימָא	nmpr	Ashima	1
jgr	>PJX/	אֲפִיחַ	nmpr	Aphiah	1
lts	PWRT>/	פֹּורָתָא	nmpr	Poratha	1
jbf	>BJHWD/	אֲבִיהוּד	nmpr	Abihud	1
lnm	NKWN=/	נָכֹון	nmpr	Nacon	1
ith	<BC[		verb	shrivel	1
kmo	JCN==/	יָשֵׁן	nmpr	Jashen	1
lyb	R>WMH/	רְאוּמָה	nmpr	Reumah	1
lkc	MXML/	מַחְמַל	subs	<uncertain>	1
kxa	LXM=/	לָחֶם	subs	<uncertain>	1
mgz	TLPJWT/	תַּלְפִּיֹּות	subs	stone courses	1
lyg	RBD[		verb	prepare	1
jfn	>L_BRJT/	אֵל בְּרִית	nmpr	El-Berith	1
jjg	>WLJ/	אֱוִלִי	adjv	awkward	1
kux	KSS[	כָּסַס	verb	compute	1
loh	NVJ</	נָטִיעַ	subs	plantlet	1
jzl	D>BH/	דְּאָבָה	subs	despair	1
jtd	CC>[	שָׁשָׁא	verb	walk	1
msf	XWC=[	חוּשׁ	verb	feel	1
ixq	<NWB/	עָנוּב	nmpr	Anub	1
mhn	TPJNJM/	תֻּפִינִים	subs	<uncertain>	1
mwx	YWX[	צוּח	verb	cry	1
kmn	JCMRJ/	יִשְׁמְרַי	nmpr	Ishmerai	1
jzh	CXWR/	שְׁחֹור	subs	blackness	1
mgk	TJLWN/	תִּילֹון	nmpr	Tilon	1
izs	<WG[	עוּג	verb	bake	1
kjb	HM/	הָם	nmpr	Ham	1
jic	>RRJ/	אֲרָרִי	adjv	<uncertain>	1
mru	XTP[		verb	snatch away	1
kdp	FRJQ/	שָׂרִיק	adjv	carded	1
kmi	JCJCJ/	יְשִׁישַׁי	nmpr	Jeshishai	1
lkz	MZH/	מָזֶה	adjv	hungry	1
jem	>LH==/	אַלָּה	subs	big tree	1
jdy	>JN=	אִין	conj	if	1
lhq	MSBH/	מְסִבָּה	subs	circle	1
ltz	PXTT/	פְּחֶתֶת	subs	boring	1
jbs	>BVJX/	אֲבַטִּיחַ	subs	water-melon	1
ldy	MLV/	מֶלֶט	subs	mortar	1
jjo	>XBN/	אַחְבָּן	nmpr	Ahban	1
jzw	DBRJ/	דִּבְרִי	nmpr	Dibri	1
kme	JCBJ=/	יִשְׁבִּי	nmpr	Ishbi-Benob	1
kdi	FPQ=[	שָׂפַק	verb	suffice	1
mir	TXC=/	תַּחַשׁ	nmpr	Tahash	1
mya	ZJTN/	זֵיתָן	nmpr	Zethan	1
jqy	BWYY/	בֹּוצֵץ	nmpr	Bozez	1
kpr	JRW>L/	יְרוּאֵל	nmpr	Jeruel	1
kek	FWX[	שׂוּחַ	verb	<uncertain>	1
lju	MXJJ>L/	מְחִיּיָאֵל	nmpr	Mehujael	1
kin	HGJNH/	הֲגִינָה	subs	<uncertain>	1
kkn	HWN[	הוּן	verb	be easy	1
mrz	XV>H==/	חֶטְאָה	subs	error	1
mqh	XRNPR/	חַרְנֶפֶר	nmpr	Harnepher	1
jca	>CC[	אָשַׁשׁ	verb	<uncertain>	1
kpu	JSD/	יְסֻד	subs	establishment	1
mlp	XCQ=/	חִשֻּׁק	subs	spoke	1
kkx	J<JR/	יָעִיר	nmpr	Jair	1
klh	J<RH/	יַעֲרָה	subs	kid	1
ldj	ML>KJ/	מַלְאָכִי	nmpr	Malachi	1
jqp	BVXH/	בִּטְחָה	subs	confidence	1
jli	B<L=/	בָּעַל	nmpr	Baalath	1
jwa	CMTJ/	שֻׁמָתִי	adjv	Shumathite	1
jhi	>RBJ/	אַרְבִּי	adjv	Arbite	1
mvg	YNW</	צָנוּעַ	adjv	humble	1
lwb	QRJT/	קִרְיַת	nmpr	Kiriath	1
mjc	V<N[		verb	load	1
kle	J<QN/	יַעֲקָן	nmpr	Jaakan	1
lxq	R<MJH/	רַעַמְיָה	nmpr	Raamiah	1
iup	<DNH=/	עַדְנָה	nmpr	Adnah	1
lrj	PLMNJ/	פַּלְמֹנִי	subs	a certain	1
lio	MVBX/	מַטְבֵּחַ	subs	slaughtering place	1
kkt	HZH[	הָזָה	verb	pant	1
kvy	LBH=/	לִבָּה	subs	rage	1
lua	PXX[	פָּחַח	verb	be trapped	1
jwm	CP<J/	שִׁפְעִי	nmpr	Shiphi	1
jsc	C>JH/	שְׁאִיָּה	subs	desolation	1
msl	XWPMJ/	חוּפָמִי	adjv	Huphamite	1
muj	YJR/	צִיר	subs	<uncertain>	1
iyl	<R<WR/	עַרְעֹור	nmpr	Aroer	1
kms	JCR==/	יֵשֶׁר	nmpr	Jesher	1
law	MDH=/	מִדָּה	subs	tribute	1
msd	XWBH/	חֹובָה	nmpr	Hobah	1
mxl	ZBJN>/	זְבִינָא	nmpr	Zebina	1
kjx	HRS/	הֶרֶס	subs	destruction	1
jmk	BDQR/	בִּדְקַר	nmpr	Bidkar	1
ksl	KHH=[	כָּהָה	verb	rebuke	1
kwr	LQWM/	לַקּוּם	nmpr	Lakkum	1
lwo	QVN===/	קָטָן	nmpr	Hakkatan	1
lqj	P>RH/	פֻּארָה	subs	bough	1
jiw	>TNN=/	אֶתְנָן	nmpr	Ethnan	1
kej	FWV[	שׂוּט	verb	fall away	1
kpd	JQWTJ>L/	יְקוּתִיאֵל	nmpr	Jekuthiel	1
jjd	>WBJL/	אֹובִיל	nmpr	Obil	1
jjj	>WPJR=/	אֹופִיר	nmpr	Ophir	1
kge	GJR/	גִּיר	subs	plaster	1
ljw	MXLH==/	מְחִלָּה	subs	hole	1
jhm	>RDJ=/	אֲרִדַי	nmpr	Aridai	1
lgl	MRCH/	מָרֵשָׁה	nmpr	Mareshah	1
los	NWP/	נֹוף	subs	height	1
mbm	RXMJN/	רַחֲמִין	subs	mercy	1
jju	>XJDH/	אֲחִידָה	subs	riddle	1
jeb	>KJLH/	אֲכִילָה	subs	food	1
mye	ZKW/	זָכוּ	subs	innocence	1
kob	JKJNJ/	יָכִינִי	adjv	Jakinite	1
lkd	MXNQ/	מַחֲנָק	subs	suffocation	1
jpm	BRD[	בָּרַד	verb	hail	1
mfo	T<LM/	תַּעֲלֻם	subs	<uncertain>	1
lha	MRQX/	מֶרְקָח	subs	herb	1
mxy	ZJP=/	זִיף	nmpr	Ziph	1
khc	GRD[		verb	scrap	1
lfy	MQXWT/	מַקָּחֹות	subs	wares	1
mas	RTM[	רָתַם	verb	bind	1
lqp	PDJWM/	פִּדְיֹום	subs	ransom	1
myl	ZMM/	זָמָם	subs	plan	1
jgm	>PD=/	אֵפֹד	nmpr	Ephod	1
mvm	YPJ</	צָפִיעַ	subs	dung	1
ked	FWG[	שׂוּג	verb	<uncertain>	1
jcm	>CWRJM/	אַשּׁוּרִים	nmpr	Asshurites	1
lfs	MQCH==/	מִקְשֶׁה	subs	hair setting	1
mhh	TMR==/	תֹּמֶר	subs	scare-crow	1
jtl	CGJ>H/	שְׁגִיאָה	subs	sin	1
krd	JXJH/	יְחִיָּה	nmpr	Jehiah	1
jrn	BYR==[	בָּצַר	verb	humble	1
jza	CXLT/	שְׁחֵלֶת	subs	incense	1
lex	MNWN/	מָנֹון	subs	<uncertain>	1
itj	<BD>L/	עַבְדְּאֵל	nmpr	Abdeel	1
kmp	JCNH/	יְשָׁנָה	nmpr	Jeshanah	1
jur	CLMJ=/	שְׁלֹמִי	nmpr	Shelomi	1
khq	GWR_B<L/	גּוּר בָּעַל	nmpr	Gur Baal	1
izf	<TRT/	עֲתֶרֶת	subs	<uncertain>	1
mjl	VBXH=/	טַבָּחָה	subs	female cook	1
jmr	BHMWT/	בְּהֵמֹות	subs	hippopotamus	1
miz	TZZ[	תָּזַז	verb	strike	1
kcl	FJ>WN/	שִׂיאֹון	nmpr	Siyon	1
mda	SKR=[	סָכַר	verb	hire	1
jar	<ZJ>L=/	עֲזִיאֵל	nmpr	Aziel	1
kmj	JCJHW/	יִשִּׁיָּהוּ	nmpr	Isshiah	1
jop	BNJH/	בִּנְיָה	subs	building	1
jgq	>PJQ==/	אֲפִיק	nmpr	Aphek	1
ley	MNXT=/	מָנָחַת	nmpr	Manahath	1
kvs	L>L/	לָאֵל	nmpr	Lael	1
ivb	<JC/	עַיִשׁ	subs	lioness	1
kbo	DWG/	דַּוָּג	subs	fisher	1
mzh	ZW<H/	זְוָעָה	subs	trembling	1
klz	JBNJH/	יִבְנְיָה	nmpr	Ibneiah	1
kca	DXWH/	דַּחֲוָה	subs	<uncertain>	1
mcf	S>N[		verb	tramp	1
izc	<TM[	עָתַם	verb	<uncertain>	1
jmu	BJR/	בַּיִר	subs	<uncertain>	1
jrv	C<LBJN/	שַׁעֲלַבִּין	nmpr	Shaalabbin	1
mhi	TMRWRJM=/	תַּמְרוּרִים	subs	sign-post	1
myg	ZKWR=/	זָכוּר	adjv	remembering	1
jzp	DBB[	דָּבַב	verb	flow	1
muu	YM>H/	צִמְאָה	subs	thirst	1
jmc	BBH/	בָּבָה	subs	eyeball	1
lzn	RMWNW/	רִמֹּונֹו	nmpr	Rimmono	1
jje	>WJH	אֹויָה	intj	woe	1
jmh	BDJH/	בֵּדְיָה	nmpr	Bedeiah	1
iyi	<QR=/	עֵקֶר	subs	offspring	1
kph	JRBCT/	יְרֻבֶּשֶׁת	nmpr	Jerub-Besheth	1
mql	XRR=[	חָרַר	verb	be hoarse	1
lzw	RPC/	רֶפֶשׁ	subs	sea-weed	1
jyq	CWNJ/	שׁוּנִי	adjv	Shunite	1
mei	SRH=/	סָרָה	subs	ceasing	1
kgv	GNTWJ/	גִּנְּתֹוי	nmpr	Ginnethoi	1
jwl	CP</	שֶׁפַע	subs	abundance	1
lzf	RKS/	רֶכֶס	subs	rugged ground	1
krl	JXZRH/	יַחְזֵרָה	nmpr	Jahzerah	1
mog	XMT_YWB>/	חֲמָת צֹובָא	nmpr	Hamath Zobah	1
kti	KMH[	כָּמַהּ	verb	faint	1
mxq	ZG/	זָג	subs	skin of grape	1
kfu	GDRJ/	גְּדֵרִי	adjv	Gederite	1
jlj	B<LJD</	בְּעֶלְיָדָע	nmpr	Beeliada	1
mep	SS/	סָס	subs	moth	1
ldk	ML>KWT/	מַלְאָכוּת	subs	commission	1
mvx	YPWN==/	צְפֹון	nmpr	Zephon	1
mzl	ZWXT/	זֹוחֵת	nmpr	Zoheth	1
mao	RSJS/	רָסִיס	subs	drop	1
kuk	KRMJ/	כַּרְמִי	adjv	Carmite	1
iyh	<QN/	עֲקָן	nmpr	Akan	1
mad	RPT/	רֶפֶת	subs	enclosure	1
mrd	XSD=[		verb	insult	1
knf	JDLP/	יִדְלָף	nmpr	Jidlaph	1
kup	KSJL==/	כְּסִיל	nmpr	Kesil	1
lvz	QRH=/	קָרֶה	subs	pollution	1
jkv	>YL==/	אָצַל	nmpr	Azel	1
mcs	SJS/	סִיס	subs	swift-bird	1
izq	<WB[	עוּב	verb	becloud	1
jlg	B<FJH/	בַּעֲשֵׂיָה	nmpr	Baaseiah	1
lom	NWC[	נוּשׁ	verb	<uncertain>	1
liq	MVH====/	מֻטֶּה	subs	crookedness	1
mlg	XBWLH/	חֲבוּלָה	subs	harm	1
iwl	<LMJ/	עֵלָמִי	adjv	Elamite	1
msc	XWB/	חֹוב	subs	guilt	1
mbz	RZWN=/	רָזֹון	subs	<official>	1
jms	BHQ/	בֹּהַק	subs	skin-disease	1
lez	MNXTJ/	מָנַחְתִּי	adjv	Manahathite	1
mho	TPL==/	תֹּפֶל	nmpr	Tophel	1
lms	NDNH/	נִדְנֶה	subs	sheath	1
jae	<YH[	עָצָה	verb	blink	1
khd	GRGR/	גַּרְגַּר	subs	olive	1
ius	<DR=/	עֵדֶר	nmpr	Eder	1
lgv	MRJRWT/	מְרִירוּת	subs	bitterness	1
lva	QJCJ/	קִישִׁי	nmpr	Kishi	1
lpi	NXR/	נַחַר	subs	snorting	1
mjn	VJX/	טִיחַ	subs	coating	1
jrl	BYL/	בָּצָל	subs	onion	1
mki	VXNH/	טַחֲנָה	subs	grinding mill	1
kwz	LX/	לֵחַ	subs	sap	1
iwm	<LMT/	עָלֶמֶת	nmpr	Alemeth	1
jjh	>WN===/	אֹון	nmpr	On	1
kav	DLPWN/	דַּלְפֹון	nmpr	Dalphon	1
ler	MNHRH/	מִנְהָרָה	subs	store	1
mwh	YRH=/	צָרָה	subs	rival wife	1
kwn	LKH/	לֵכָה	nmpr	Lecah	1
mvz	YPWNJ=/	צְפֹונִי	adjv	northern	1
kfj	GCM==/	גֹּשֶׁם	subs	<uncertain>	1
ksn	KJCWR/	כִּישֹׁור	subs	whorl	1
ivh	<JN_HTNJN/	עֵין הַתַּנִּין	nmpr	the Jackal Well	1
lth	PTW>L/	פְּתוּאֵל	nmpr	Pethuel	1
kst	KJR/	כִּיר	subs	hearth	1
kbe	DPJ/	דֳּפִי	subs	blemish	1
lun	QBWY/	קִבּוּץ	subs	<uncertain>	1
lwz	QX/	קָח	subs	willow	1
jjf	>WL/	אוּל	subs	<uncertain>	1
jbw	>C<N/	אֶשְׁעָן	nmpr	Eshan	1
jmv	BJT[	בִּית	verb	spend the night	1
kgj	GLJLWT/	גְּלִילֹות	nmpr	Geliloth	1
jls	B<N/	בְּעֹן	nmpr	Beon	1
kyq	M<ZN/	מָעֹזֶן	subs	<uncertain>	1
jyp	CWMR/	שֹׁומֵר	nmpr	Shomer	1
lmv	NH/	נֹהַּ	subs	<uncertain>	1
lme	NBWCZBN/	נְבוּשַׁזְבָּן	nmpr	Nebushazban	1
mhg	TMR=/	תֹּמֶר	subs	date-palm	1
jsy	CBR===/	שֶׁבֶר	nmpr	Sheber	1
mlw	XD=/	חַד	subs	<uncertain>	1
ixc	<MNH/	עַמֹּנָה	nmpr	Ammoni	1
lvi	QJV/	קַיִט	subs	summer	1
ltr	PWQH/	פּוּקָה	subs	staggering	1
myq	ZNQ[		verb	leap	1
jan	<YR=/	עֶצֶר	subs	oppression	1
ivm	<JN_XYWR/	עֵין חָצֹור	nmpr	En Hazor	1
mjs	VLVLH/	טַלְטֵלָה	subs	hurling	1
jsn	CB<NH/	שִׁבְעָנָה	subs	twice seven	1
mex	SWDJ/	סֹודִי	nmpr	Sodi	1
maq	RSN=/	רֶסֶן	nmpr	Resen	1
iyo	<RJ/	עֵרִי	adjv	Erite	1
ivz	<KS[		verb	fetter	1
lbm	MF>H/	מַשָּׂאָה	subs	lifting up	1
mtc	XZJ>L/	חֲזִיאֵל	nmpr	Haziel	1
jdh	>GLJM/	אֶגְלַיִם	nmpr	Eglaim	1
iuf	<DH==/	עִדָּה	subs	menstruation	1
mhp	TPLYT/	תִּפְלֶצֶת	subs	horror	1
jhy	>RN/	אֹרֶן	subs	laurel	1
iwo	<LMWT/	עַלְמוּת	subs	<uncertain>	1
jze	CXRWT/	שַׁחֲרוּת	subs	black hair	1
kln	J<ZJ>L/	יַעֲזִיאֵל	nmpr	Jaaziel	1
lpt	NYB/	נִצָּב	subs	handle	1
kna	JDDWT/	יְדִדוּת	subs	beloved one	1
kpf	JR<[		verb	quiver	1
keo	FXW/	שָׂחוּ	subs	swimming	1
mxf	YXYXH/	צַחְצָחָה	subs	scorched land	1
lwg	QRQ<=/	קַרְקַע	nmpr	Karka	1
khl	GWC/	גּוּשׁ	subs	crust	1
lsb	PRCNDT>/	פַּרְשַׁנְדָּתָא	nmpr	Parshandatha	1
lvw	QPD[	קָפַד	verb	roll up	1
jsq	CBC[	שְׁבַשׁ	verb	branch off	1
lwv	QWC[	קֹושׁ	verb	lay bait	1
kon	JMRH/	יִמְרָה	nmpr	Imrah	1
jfx	>MN==/	אָמָּן	subs	artisan	1
lwm	QV/	קָט	subs	<uncertain>	1
lxi	R<C=[		verb	be abundant	1
ivk	<JN_XDH/	עֵין חַדָּה	nmpr	En Haddah	1
myn	ZMRJ=/	זִמְרִי	nmpr	Zimri	1
lri	PLLJH/	פְּלַלְיָה	nmpr	Pelaliah	1
kvm	L</	לֹעַ	subs	throat	1
lcl	MHTLWT/	מַהֲתַלֹּות	subs	deceit	1
kgw	GNZK/	גַּנְזַךְ	subs	treasury	1
mtv	YBW/	צְבוּ	subs	thing	1
lsp	PRWX/	פָּרוּחַ	nmpr	Paruah	1
lip	MVH===/	מֻטָּה	subs	spreading	1
mnu	XLWP/	חֲלֹוף	subs	<uncertain>	1
jxr	CRVJ/	שִׁרְטַי	nmpr	Shitrai	1
jhz	>RN==/	אֹרֶן	nmpr	Oren	1
msy	XYR_GDH/	חֲצַר גַּדָּה	nmpr	Hazar Gaddah	1
kre	JXJL/	יָחִיל	subs	<uncertain>	1
lim	MTX[		verb	spread out	1
jqe	BTH=/	בָּתָה	subs	<uncertain>	1
ksk	KHH=/	כֵּהָה	subs	effacement	1
lah	MCRH/	מִשְׁרָה	subs	liquid	1
mkn	WHB/	וָהֵב	nmpr	Waheb	1
jam	<YNJ/	עֶצְנִי	subs	<uncertain>	1
jnc	BJT_B<L_M<WN/	בֵּית בַּעַל מְעֹון	nmpr	Baal Meon	1
krc	JXF/	יַחַשׂ	subs	book	1
mge	TCWRH/	תְּשׁוּרָה	subs	gift	1
klm	J<WY/	יְעוּץ	nmpr	Jeuz	1
kya	M<RH===/	מְעָרָה	nmpr	Mearah	1
kqn	JWCBJH/	יֹושִׁבְיָה	nmpr	Joshibiah	1
iyv	<RWY/	עָרוּץ	subs	slope	1
ltj	PTX=/	פֵּתַח	subs	disclosure	1
lub	PXZ/	פַּחַז	subs	<uncertain>	1
lpc	NXH=[	נָחָה	verb	lean	1
kry	K>H/	כָּאֶה	subs	<uncertain>	1
lie	MSTWR/	מִסְתֹּור	subs	shelter	1
jto	CJC/	שַׁיִשׁ	subs	alabaster	1
mrn	XTH/	חִתָּה	subs	terror	1
lvm	QLJ=/	קַלָּי	nmpr	Kallai	1
jjl	>WRWT/	אֲוֵרֹות	subs	<uncertain>	1
mij	TRXNH/	תִּרְחֲנָה	nmpr	Tirhanah	1
jaa	<YB=====/	עַצָּב	subs	<uncertain>	1
lrm	PLX>/	פִּלְחָא	nmpr	Pilha	1
lca	MGNH/	מָגִנָּה	subs	insolence	1
kcg	FB<H=/	שָׂבְעָה	subs	satiety	1
kmh	JCC/	יָשֵׁשׁ	adjv	aged	1
lzk	RMM[	רָמַם	verb	be wormy	1
jom	BLS[	בָּלַס	verb	nip	1
lov	NWX=[	נוּחַ	verb	lament	1
kpg	JR>WN/	יִרְאֹון	nmpr	Iron	1
iub	<CWQ/	עָשֹׁוק	subs	oppressor	1
mqu	XRWY===/	חָרוּץ	subs	moat	1
kws	LQXJ/	לִקְחִי	nmpr	Likhi	1
mdf	SL>/	סִלָּא	nmpr	Silla	1
lir	MVH=====/	מָטֶה	subs	coming	1
jzt	DBJWNJM/	דִּבְיֹונִים	subs	excretion	1
mlo	XCMWN/	חֶשְׁמֹון	nmpr	Heshmon	1
kzl	MC<N/	מַשְׁעֵן	subs	support	1
jll	B<LJS/	בַּעֲלִיס	nmpr	Baalis	1
jgv	>PRJWN/	אַפִּרְיֹון	subs	litter	1
kzk	MC<M/	מִשְׁעָם	nmpr	Misham	1
khh	GRZ[		verb	exterminate	1
mnv	XLXWL/	חַלְחוּל	nmpr	Halhul	1
jmd	BBLJ/	בָּבְלָי	adjv	Babylonian	1
mlb	XBR=[		verb	be brilliant	1
ivl	<JN_XRD/	עֵין חֲרֹד	nmpr	the spring of Harod	1
jag	<YLH/	עַצְלָה	subs	sluggishness	1
mwr	YWPJ/	צֹופַי	nmpr	Zophai	1
lzg	RKS=/	רֹכֶס	subs	<uncertain>	1
lgu	MRJRJ/	מְרִירִי	adjv	bitter	1
lwy	QWY=/	קֹוץ	subs	snuff	1
jyk	CWC>/	שַׁוְשָׁא	nmpr	Shavsha	1
mtp	YBH/	צָבֶה	adjv	swollen	1
kqm	JWBL==/	יוּבָל	nmpr	Jubal	1
jzv	DBLJM/	דִּבְלָיִם	nmpr	Diblaim	1
moe	XMT===/	חַמַּת	nmpr	Hammath	1
lqw	PJMH/	פִּימָה	subs	fat	1
ltm	PW<H/	פּוּעָה	nmpr	Puah	1
khn	GWMY/	גּוּמָּץ	subs	pit	1
kqd	JTNJ>L/	יַתְנִיאֵל	nmpr	Jathniel	1
lab	MCMNJM/	מַשְׁמַנִּים	subs	dishes	1
jed	>KP/	אֶכֶף	subs	pressure	1
mva	YNH==/	צִנָּה	subs	cold	1
mjk	VBX==/	טֶבַח	nmpr	Tebah	1
kmw	JCWXJH/	יְשֹׁוחָיָה	nmpr	Jeshohaiah	1
jbe	>BJ>SP/	אֲבִיאָסָף	nmpr	Abiasaph	1
kdy	FV/	שֵׂט	subs	<uncertain>	1
kvu	LB>/	לָבָא	subs	lion	1
jtx	CKMJ/	שִׁכְמִי	adjv	Shechemite	1
lwx	QWMMJWT/	קֹומְמִיּוּת	subs	uprightness	1
lfm	MPTX=/	מִפְתָּח	subs	opening	1
mlu	XCXW/	חַשְׁחוּ	subs	need	1
muf	YJ<R/	צִיעֹר	nmpr	Zior	1
jbt	>BWJ/	אֲבֹוי	subs	desire	1
jmo	BGT>/	בִּגְתָא	nmpr	Bigtha	1
lat	MDBR=/	מִדְבָּר	subs	speaking	1
kzw	MCLMJH/	מְשֶׁלֶמְיָה	nmpr	Meshelemiah	1
lrq	PNJ>L/	פְּנִיאֵל	nmpr	Peniel	1
mcb	S<H[	סָעָה	verb	calumniate	1
jbr	>BR[		verb	soar up	1
kjr	HRHR/	הַרְהֹר	subs	imagining	1
jna	BJT_<ZMWT/	בֵּית עַזְמָוֶת	nmpr	Azmaveth	1
kfo	GD=/	גַּד	subs	fortune	1
kqe	JTNN/	יִתְנָן	nmpr	Ithnan	1
kow	JPX[		verb	gasp	1
mwb	YQLWN/	צִקָּלֹון	subs	<uncertain>	1
kxi	M<DR/	מַעְדֵּר	subs	hoe	1
mme	XDT/	חֲדַת	adjv	new	1
iwp	<LPH/	עֻלְפֶּה	subs	<uncertain>	1
lsa	PRCDN/	פַּרְשְׁדֹן	subs	hole	1
mgs	TL<[		verb	wrap in scarlet	1
lcp	MJC>/	מֵישָׁא	nmpr	Mesha	1
jmx	BJT_<NWT/	בֵּית עֲנֹות	nmpr	Beth Anoth	1
mci	SB>=/	סָבָא	subs	weed	1
lmy	NHLL/	נַהֲלֹל	subs	watering place	1
jfp	>MH====/	אַמָּה	nmpr	Ammah	1
lgp	MRDWT/	מַרְדּוּת	subs	rebellion	1
lmi	NCJ/	נְשִׁי	subs	debt	1
mrt	XTP/	חֶתֶף	subs	robber	1
mps	XRBWN>/	חַרְבֹונָא	nmpr	Harbona	1
jdz	>JTWN/	אִיתֹון	adjv	<uncertain>	1
kma	JBNJH=/	יִבְנִיָּה	nmpr	Ibnijah	1
kiw	HKR[	הָכַר	verb	do wrong	1
jio	>SPSP/	אֲסַפְסֻף	subs	cluster	1
lks	MYH==/	מֹצָה	nmpr	Mozah	1
lbn	MFKH/	מְשֻׂכָה	subs	hedge	1
kaz	DMH/	דֻּמָה	subs	<uncertain>	1
loj	NVL/	נֵטֶל	subs	load	1
lyp	RGM/	רֶגֶם	nmpr	Regem	1
kae	DHJ/	דֶּהָי	adjv	Dehite	1
kvk	KZB>/	כֹּזֵבָא	nmpr	Cozeba	1
mfu	T>LH/	תַּאְלָה	subs	curse	1
mhm	TNJNWT	תִּנְיָנוּת	advb	again	1
mkj	VXNWT/	טֹחֲנֹות	subs	molar teeth	1
jqz	BWZ==/	בּוּז	nmpr	Buz	1
mpo	XPY=[	חָפַץ	verb	bend down	1
mcn	SBR[	סְבַר	verb	intend	1
jev	>LJPL/	אֱלִיפַל	nmpr	Eliphal	1
mer	STRH/	סִתְרָה	subs	hiding place	1
mbv	RYP/	רֶצֶף	subs	coal	1
miu	TXNJ/	תַּחֲנִי	adjv	Tahanite	1
lwf	QRN_HPWK/	קֶרֶן הַפּוּךְ	nmpr	Keren-Happuch	1
mor	XNJK/	חָנִיךְ	subs	follower	1
iyz	<TJQ=/	עָתִיק	adjv	choice	1
juo	CLM==/	שִׁלֵּם	subs	<uncertain>	1
kdn	FRD[	שָׂרַד	verb	run away	1
mmo	XJ>L/	חִיאֵל	nmpr	Hiel	1
loe	NTN_MLK/	נְתַן מֶלֶךְ	nmpr	Nathan-Melech	1
lhn	MRYPT/	מַרְצֶפֶת	subs	pavement	1
jzr	DBCT=/	דַּבֶּשֶׁת	nmpr	Dabbesheth	1
kfi	GBX/	גִּבֵּחַ	adjv	bald	1
led	MLY[	מָלַץ	verb	be smooth	1
ixp	<NTTJH/	עַנְתֹתִיָּה	nmpr	Anthothijah	1
mjv	VPC[	טָפַשׁ	verb	be unfeeling	1
jgc	>MWN===/	אָמֹון	nmpr	Amon	1
mns	XLV[		verb	decide	1
muy	YN>/	צֹנָא	subs	<uncertain>	1
kif	HDD_RMWN/	הֲדַד רִמֹּון	nmpr	Hadad Rimmon	1
lmc	NBRCH/	נֶבְרְשָׁה	subs	lamp	1
jay	>BDH=/	אֲבַדֹּה	subs	destruction	1
lbw	MGDL_>L/	מִגְדַּל אֵל	nmpr	Migdal El	1
lje	MWQDH/	מֹוקְדָה	subs	<uncertain>	1
meg	SRDJ/	סַרְדִּי	adjv	Seredite	1
kil	HDSH/	הֲדַסָּה	nmpr	Hadassah	1
jum	CLKT/	שַׁלֶּכֶת	subs	cutting down	1
mzo	ZZ>/	זָזָא	nmpr	Zaza	1
mhk	TMWZ/	תַּמּוּז	nmpr	Tammuz	1
