passage	phrase_text	phrase_gloss	head	attributive	#words_mother	#nouns_mother
Exodus 2:23	BJMJM HRBJM HHM 	in the day the much the they	JMJM 	HRBJM 	2	1
Exodus 3:3	>T&HMR>H HGDL HZH 	<object marker> the sight the great the this	HMR>H 	HGDL 	2	1
Exodus 3:8	>L&>RY VWBH WRXBH >L&>RY ZBT XLB WDB# >L&MQWM HKN<NJ WHXTJ WH>MRJ WHPRZJ WHXWJ WHJBWSJ00 	to earth good and wide to earth flow milk and honey to place the Canaanite and the Hittite and the Amorite and the Perizzite and the Hivite and the Jebusite	>RY 	VWBH WRXBH 	1	1
Exodus 3:8	>L&>RY VWBH WRXBH >L&>RY ZBT XLB WDB# >L&MQWM HKN<NJ WHXTJ WH>MRJ WHPRZJ WHXWJ WHJBWSJ00 	to earth good and wide to earth flow milk and honey to place the Canaanite and the Hittite and the Amorite and the Perizzite and the Hivite and the Jebusite	>RY 	ZBT XLB WDB# 	1	1
Exodus 3:17	>L&>RY HKN<NJ WHXTJ WH>MRJ WHPRZJ WHXWJ WHJBWSJ >L&>RY ZBT XLB WDB#00 	to earth the Canaanite and the Hittite and the Amorite and the Perizzite and the Hivite and the Jebusite to earth flow milk and honey	>RY 	ZBT XLB WDB#00 	1	1
Exodus 3:19	BJD XZQH00 	in hand strong	JD 	XZQH00 	1	1
Exodus 4:8	LQL H>T HR>#WN 	to sound the sign the first	H>T 	HR>#WN 	2	1
Exodus 4:8	LQL H>T H>XRWN00 	to sound the sign the at the back	H>T 	H>XRWN00 	2	1
Exodus 6:1	BJD XZQH 	in hand strong	JD 	XZQH 	1	1
Exodus 6:1	BJD XZQH 	in hand strong	JD 	XZQH 	1	1
Exodus 6:6	BZRW< NVWJH WB#PVJM GDLJM00 	in arm extend and in judgment great	ZRW< 	NVWJH 	1	1
Exodus 6:6	BZRW< NVWJH WB#PVJM GDLJM00 	in arm extend and in judgment great	#PVJM 	GDLJM00 	1	1
Exodus 6:9	MQYR RWX WM<BDH Q#H00 	from shortness wind and from work hard	<BDH 	Q#H00 	1	1
Exodus 7:4	B#PVJM GDLJM00 	in judgment great	#PVJM 	GDLJM00 	1	1
Exodus 8:20	<RB KBD 	swarm heavy	<RB 	KBD 	1	1
Exodus 9:3	DBR KBD M>D00 	pest heavy might	DBR 	KBD M>D00 	1	1
Exodus 9:18	BRD KBD M>D 	hail heavy might	BRD 	KBD M>D 	1	1
Exodus 10:19	RWX&JM XZQ M>D 	wind sea strong might	RWX&JM 	XZQ M>D 	2	2
Exodus 11:6	Y<QH GDLH 	cry great	Y<QH 	GDLH 	1	1
Exodus 12:5	#H TMJM ZKR BN&#NH 	lamb complete male son year	#H 	TMJM ZKR 	1	1
Exodus 12:15	>K BJWM HR>#WN 	only in the day the first	JWM 	HR>#WN 	2	1
Exodus 12:16	BJWM HR>#WN 	in the day the first	JWM 	HR>#WN 	2	1
Exodus 12:16	BJWM H#BJ<J 	in the day the seventh	JWM 	H#BJ<J 	2	1
Exodus 12:30	Y<QH GDLH 	cry great	Y<QH 	GDLH 	1	1
Exodus 12:38	GM&<RB RB WY>N WBQR MQNH KBD M>D00 	even mixture much and cattle and cattle purchase heavy might	<RB 	RB 	1	1
Exodus 12:38	GM&<RB RB WY>N WBQR MQNH KBD M>D00 	even mixture much and cattle and cattle purchase heavy might	MQNH 	KBD M>D00 	1	1
Exodus 12:48	KL&ZKR 	whole male	KL&	ZKR 	1	1
Exodus 12:48	KL&<RL 	whole uncircumcised	KL&	<RL 	1	1
Exodus 13:5	>L&>RY HKN<NJ WHXTJ WH>MRJ WHXWJ WHJBWSJ >RY ZBT XLB WDB# 	to earth the Canaanite and the Hittite and the Amorite and the Hivite and the Jebusite earth flow milk and honey	>RY 	ZBT XLB WDB# 	1	1
Exodus 13:6	BJWM H#BJ<J 	in the day the seventh	JWM 	H#BJ<J 	2	1
Exodus 13:9	BJD XZQH 	in hand strong	JD 	XZQH 	1	1
Exodus 14:7	##&M>WT RKB BXWR WKL RKB MYRJM 	six hundred chariot examine and whole chariot Egypt	RKB 	BXWR 	1	1
Exodus 14:8	BJD RMH00 	in hand be high	JD 	RMH00 	1	1
Exodus 14:21	BRWX QDJM <ZH 	in wind east strong	RWX QDJM 	<ZH 	2	2
Exodus 14:31	>T&HJD HGDLH 	<object marker> the hand the great	HJD 	HGDLH 	2	1
Exodus 15:10	BMJM >DJRJM00 	in water mighty	MJM 	>DJRJM00 	1	1
Exodus 16:1	BXM#H <#R JWM LXD# H#NJ 	in five -teen day to the month the second	XD# 	H#NJ 	2	1
Exodus 16:5	BJWM H##J 	in the day the sixth	JWM 	H##J 	2	1
Exodus 16:14	DQ MXSPS 	thin crackle	DQ 	MXSPS 	1	0
Exodus 16:22	BJWM H##J 	in the day the sixth	JWM 	H##J 	2	1
Exodus 16:26	BJWM H#BJ<J 	in the day the seventh	JWM 	H#BJ<J 	2	1
Exodus 16:27	BJWM H#BJ<J 	in the day the seventh	JWM 	H#BJ<J 	2	1
Exodus 16:29	BJWM H##J 	in the day the sixth	JWM 	H##J 	2	1
Exodus 16:29	BJWM H#BJ<J00 	in the day the seventh	JWM 	H#BJ<J00 	2	1
Exodus 16:30	BJWM H#B<J00 	in the day the seventh	JWM 	H#B<J00 	2	1
Exodus 16:35	>L&>RY NW#BT 	to earth sit	>RY 	NW#BT 	1	1
Exodus 18:3	B>RY NKRJH00 	in earth foreign	>RY 	NKRJH00 	1	1
Exodus 18:21	>N#J&XJL JR>J >LHJM >N#J >MT #N>J BY< 	man power afraid god(s) man trustworthiness hate profit	>N#J&XJL 	JR>J >LHJM 	2	2
Exodus 18:21	>N#J&XJL JR>J >LHJM >N#J >MT #N>J BY< 	man power afraid god(s) man trustworthiness hate profit	>N#J >MT 	#N>J BY< 	2	2
Exodus 18:22	KL&HDBR HGDL 	whole the word the great	HDBR 	HGDL 	2	1
Exodus 18:22	KL&HDBR HQVN 	whole the word the small	HDBR 	HQVN 	2	1
Exodus 18:26	>T&HDBR HQ#H 	<object marker> the word the hard	HDBR 	HQ#H 	2	1
Exodus 18:26	KL&HDBR HQVN 	whole the word the small	HDBR 	HQVN 	2	1
Exodus 19:1	BXD# H#LJ#J 	in the month the third	XD# 	H#LJ#J 	2	1
Exodus 19:6	MMLKT KHNJM WGWJ QDW# 	kingdom priest and people holy	GWJ 	QDW# 	1	1
Exodus 19:11	LJWM H#LJ#J 	to the day the third	JWM 	H#LJ#J 	2	1
Exodus 19:11	BJWM H#LJ#J 	in the day the third	JWM 	H#LJ#J 	2	1
Exodus 19:16	BJWM H#LJ#J 	in the day the third	JWM 	H#LJ#J 	2	1
Exodus 19:16	QLT WBRQJM W<NN KBD 	sound and lightning and cloud heavy	<NN 	KBD 	1	1
Exodus 19:16	QL #PR XZQ M>D 	sound horn strong might	QL #PR 	XZQ M>D 	2	2
