passage	phrase_node	phrase_text	phrase_gloss	phrase_function	lexeme	occ_text	occ_node
Genesis 24:27	611946	יְהוָה֙ אֱלֹהֵי֙ אֲדֹנִ֣י אַבְרָהָ֔ם 	YHWH god(s) lord Abraham	Subj	>LHJM/	אֱלֹהֵי֙ 	11616
Genesis 24:42	612132	יְהוָה֙ אֱלֹהֵי֙ אֲדֹנִ֣י אַבְרָהָ֔ם 	YHWH god(s) lord Abraham	Voct	>LHJM/	אֱלֹהֵי֙ 	11921
Genesis 24:48	612240	אֶת־יְהוָה֙ אֱלֹהֵי֙ אֲדֹנִ֣י אַבְרָהָ֔ם 	<object marker> YHWH god(s) lord Abraham	Objc	>LHJM/	אֱלֹהֵי֙ 	12063
Genesis 25:11	612561	אֱלֹהִ֖ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֖ים 	12594
Genesis 26:24	613106	אֱלֹהֵ֖י אַבְרָהָ֣ם אָבִ֑יךָ 	god(s) Abraham father	PreC	>LHJM/	אֱלֹהֵ֖י 	13426
Genesis 27:20	613490	יְהוָ֥ה אֱלֹהֶ֖יךָ 	YHWH god(s)	Subj	>LHJM/	אֱלֹהֶ֖יךָ 	13970
Genesis 27:28	613590	הָאֱלֹהִ֔ים 	the god(s)	Subj	>LHJM/	אֱלֹהִ֔ים 	14092
Genesis 28:4	613927	אֱלֹהִ֖ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֖ים 	14568
Genesis 28:12	614024	מַלְאֲכֵ֣י אֱלֹהִ֔ים 	messenger god(s)	Subj	>LHJM/	אֱלֹהִ֔ים 	14720
Genesis 28:13	614037	יְהוָ֗ה אֱלֹהֵי֙ אַבְרָהָ֣ם אָבִ֔יךָ וֵאלֹהֵ֖י יִצְחָ֑ק 	YHWH god(s) Abraham father and god(s) Isaac	PreC	>LHJM/	אֱלֹהֵי֙ 	14734
Genesis 28:13	614037	יְהוָ֗ה אֱלֹהֵי֙ אַבְרָהָ֣ם אָבִ֔יךָ וֵאלֹהֵ֖י יִצְחָ֑ק 	YHWH god(s) Abraham father and god(s) Isaac	PreC	>LHJM/	אלֹהֵ֖י 	14738
Genesis 28:17	614102	בֵּ֣ית אֱלֹהִ֔ים 	house god(s)	PreC	>LHJM/	אֱלֹהִ֔ים 	14839
Genesis 28:20	614140	אֱלֹהִ֜ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֜ים 	14894
Genesis 28:21	614162	לֵאלֹהִֽים׃ 	to god(s)	Cmpl	>LHJM/	אלֹהִֽים׃ 	14928
Genesis 28:22	614169	בֵּ֣ית אֱלֹהִ֑ים 	house god(s)	PreC	>LHJM/	אֱלֹהִ֑ים 	14939
Genesis 30:2	614666	תַ֤חַת אֱלֹהִים֙ 	under part god(s)	PreC	>LHJM/	אֱלֹהִים֙ 	15627
