passage	phrase_node	phrase_text	phrase_gloss	phrase_function	lexeme	occ_text	occ_node
1_Samuel 10:9	688337	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	146431
1_Samuel 10:10	688353	RWX >LHJM 	wind god(s)	Subj	>LHJM/	>LHJM 	146461
1_Samuel 10:18	688453	JHWH >LHJ J#R>L 	YHWH god(s) Israel	Subj	>LHJM/	>LHJ 	146605
1_Samuel 10:19	688469	>T&>LHJKM 	<object marker> god(s)	Objc	>LHJM/	>LHJKM 	146634
1_Samuel 10:26	688585	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	146810
1_Samuel 11:6	688684	RWX&>LHJM 	wind god(s)	Subj	>LHJM/	>LHJM 	146951
1_Samuel 12:9	688981	>T&JHWH >LHJHM 	<object marker> YHWH god(s)	Objc	>LHJM/	>LHJHM 	147397
1_Samuel 12:12	689033	JHWH >LHJKM 	YHWH god(s)	Subj	>LHJM/	>LHJKM 	147491
1_Samuel 12:14	689068	>XR JHWH >LHJKM00 	after YHWH god(s)	PreC	>LHJM/	>LHJKM00 	147538
1_Samuel 12:19	689132	>L&JHWH >LHJK 	to YHWH god(s)	Cmpl	>LHJM/	>LHJK 	147645
1_Samuel 13:13	689403	>T&MYWT JHWH >LHJK 	<object marker> commandment YHWH god(s)	Objc	>LHJM/	>LHJK 	148075
1_Samuel 14:15	689723	LXRDT >LHJM00 	to trembling god(s)	PreC	>LHJM/	>LHJM00 	148647
1_Samuel 14:18	689759	>RWN H>LHJM 	ark the god(s)	Objc	>LHJM/	>LHJM 	148699
1_Samuel 14:18	689762	>RWN H>LHJM 	ark the god(s)	Subj	>LHJM/	>LHJM 	148704
1_Samuel 14:36	690069	>L&H>LHJM00 	to the god(s)	Cmpl	>LHJM/	>LHJM00 	149174
1_Samuel 14:37	690073	B>LHJM 	in god(s)	Cmpl	>LHJM/	>LHJM 	149179
1_Samuel 14:41	690135	>L&JHWH >LHJ J#R>L 	to YHWH god(s) Israel	Cmpl	>LHJM/	>LHJ 	149277
1_Samuel 14:44	690179	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	149335
1_Samuel 14:45	690206	<M&>LHJM 	with god(s)	Cmpl	>LHJM/	>LHJM 	149373
1_Samuel 15:15	690477	LJHWH >LHJK 	to YHWH god(s)	Cmpl	>LHJM/	>LHJK 	149859
1_Samuel 15:21	690567	LJHWH >LHJK 	to YHWH god(s)	Cmpl	>LHJM/	>LHJK 	149991
1_Samuel 15:30	690683	LJHWH >LHJK00 	to YHWH god(s)	Cmpl	>LHJM/	>LHJK00 	150162
1_Samuel 16:15	690992	RWX&>LHJM R<H 	wind god(s) evil	Subj	>LHJM/	>LHJM 	150592
1_Samuel 16:16	691007	RWX&>LHJM R<H 	wind god(s) evil	Subj	>LHJM/	>LHJM 	150614
1_Samuel 16:23	691092	RWX&>LHJM 	wind god(s)	Subj	>LHJM/	>LHJM 	150747
1_Samuel 17:26	691461	M<RKWT >LHJM XJJM00 	row god(s) alive	Objc	>LHJM/	>LHJM 	151353
1_Samuel 17:36	691603	M<RKT >LHJM XJJM00 	row god(s) alive	Objc	>LHJM/	>LHJM 	151585
1_Samuel 17:43	691725	B>LHJW00 	in god(s)	Cmpl	>LHJM/	>LHJW00 	151765
1_Samuel 17:45	691748	B#M JHWH YB>WT >LHJ M<RKWT J#R>L 	in name YHWH service god(s) row Israel	Adju	>LHJM/	>LHJ 	151812
1_Samuel 17:46	691771	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	151858
1_Samuel 18:10	692073	RWX >LHJM R<H 	wind god(s) evil	Subj	>LHJM/	>LHJM 	152349
1_Samuel 19:20	692697	RWX >LHJM 	wind god(s)	Subj	>LHJM/	>LHJM 	153278
1_Samuel 19:23	692744	RWX >LHJM 	wind god(s)	Subj	>LHJM/	>LHJM 	153352
1_Samuel 20:12	692971	JHWH >LHJ J#R>L 	YHWH god(s) Israel	Subj	>LHJM/	>LHJ 	153662
1_Samuel 22:3	693731	>LHJM00 	god(s)	Subj	>LHJM/	>LHJM00 	154808
