clnode,chapter,verse,subj_n,subj,obj_n,obj,obj_n2,obj2,cmpl_n,cmpl,cmpl_n2,cmpl2
489624,15,2,_,_,790091,TMJM,_,_,_,_,_,_
489625,15,2,_,_,790094,YDQ,_,_,_,_,_,_
489626,15,2,_,_,790097,>MT,_,_,790098,B_LBBW,_,_
489627,15,3,_,_,_,_,_,_,790101,<L_LCNW,_,_
489628,15,3,_,_,790105,R<H,_,_,790104,L_R<HW,_,_
489629,15,3,_,_,790107,XRPH,_,_,790110,<L_QRBW,_,_
489630,15,4,790113,NM>S,_,_,_,_,790112,B_<JNJW,_,_
489631,15,4,_,_,790115,>T_JR>J_JHWH,_,_,_,_,_,_
489635,15,5,_,_,790122,KSPW,_,_,790125,B_NCK,_,_
489636,15,5,_,_,790127,CXD,_,_,790128,<L_NQJ,_,_
489637,15,5,_,_,790132,>LH,_,_,_,_,_,_
489642,16,1,_,_,_,_,_,_,790141,BK,_,_
489643,16,2,_,_,_,_,_,_,790143,L_JHWH,_,_
489644,16,2,790145,>TH,_,_,_,_,_,_,_,_
489645,16,2,790146,VWBTJ,_,_,_,_,_,_,_,_
489646,16,3,_,_,_,_,_,_,790149,L_QDWCJM_W_>DJRJ,_,_
489647,16,3,790152,HMH,_,_,_,_,_,_,_,_
489648,16,3,790153,KL_XPYJ,_,_,_,_,_,_,_,_
489649,16,4,790156,<YBWTM,_,_,_,_,_,_,_,_
489650,16,4,_,_,790157,>XR,_,_,_,_,_,_
489651,16,4,_,_,790161,NSKJHM_M_DM,_,_,_,_,_,_
489652,16,4,_,_,790165,>T_CMWTM,_,_,790166,<L_FPTJ,_,_
489654,16,5,790168,>TH,790170,GWRLJ,_,_,_,_,_,_
489655,16,6,790171,XBLJM,_,_,_,_,790173,LJ,790174,B__N<MJM
489656,16,6,790175,>P_NXLT,_,_,_,_,_,_,_,_
489657,16,7,_,_,790179,>T_JHWH,_,_,_,_,_,_
489659,16,7,790184,KLJWTJ,_,_,_,_,_,_,_,_
489660,16,8,_,_,790186,JHWH,_,_,790187,L_NGDJ,_,_
489663,16,9,790195,LBJ,_,_,_,_,_,_,_,_
489664,16,9,790198,KBWDJ,_,_,_,_,_,_,_,_
489665,16,9,790199,>P_BFRJ,_,_,_,_,_,_,_,_
489666,16,10,_,_,790205,NPCJ,_,_,790206,L_C>WL,_,_
489667,16,10,_,_,790209,XSJDK,_,_,_,_,_,_
489668,16,10,_,_,790211,CXT,_,_,_,_,_,_
489669,16,11,_,_,790213,>RX_XJJM,_,_,_,_,_,_
489670,16,11,790214,FB<_FMXWT,_,_,_,_,_,_,_,_
489671,16,11,790216,N<MWT,_,_,_,_,_,_,_,_
489673,17,1,_,_,790222,YDQ,_,_,_,_,_,_
489675,17,1,_,_,790224,RNTJ,_,_,_,_,_,_
489676,17,1,_,_,790226,TPLTJ_B_L>_FPTJ_MRMH,_,_,_,_,_,_
489677,17,2,790228,MCPVJ,_,_,_,_,790227,M_L_PNJK,_,_
489678,17,2,790230,<JNJK,790232,MJCRJM,_,_,_,_,_,_
489679,17,3,_,_,790234,LBJ,_,_,_,_,_,_
